,id,name,lat,long
0,11,ACEH,4.72669,96.77379
1,12,SUMATERA UTARA,2.12579,99.37188
2,13,SUMATERA BARAT,-0.75286,100.61145
3,14,RIAU,0.30169,101.69065
4,15,JAMBI,-1.49985,102.46179
5,16,SUMATERA SELATAN,-3.32676,103.91272
6,17,BENGKULU,-3.56246,102.35309
7,18,LAMPUNG,-4.56169,105.35187
8,19,BANGKA BELITUNG,-2.79266,106.44924
9,21,KEPULAUAN RIAU,1.11699,104.11385
10,31,DKI JAKARTA,-6.19392,106.82203
11,32,JAWA BARAT,-7.07702,107.64578
12,33,JAWA TENGAH,-7.13163,110.29649
13,34,DI YOGYAKARTA,-7.85228,110.34945
14,35,JAWA TIMUR,-7.49599,112.21402
15,36,BANTEN,-6.41017,106.06597
16,51,BALI,-8.42503,115.19479
17,52,NUSA TENGGARA BARAT,-8.61446,117.40105
18,53,NUSA TENGGARA TIMUR,-8.64686,121.17406
19,61,KALIMANTAN BARAT,-0.21465,111.42314
20,62,KALIMANTAN TENGAH,-1.72329,113.54711
21,63,KALIMANTAN SELATAN,-3.01574,115.27913
22,64,KALIMANTAN TIMUR,0.48299,116.47902
23,65,KALIMANTAN UTARA,3.08549,116.04875
24,71,SULAWESI UTARA,0.63092,124.01862
25,72,SULAWESI TENGAH,-1.39519,121.45617
26,73,SULAWESI SELATAN,-3.67159,119.83888
27,74,SULAWESI TENGGARA,-4.06342,122.29421
28,75,GORONTALO,0.70103,122.48148
29,76,SULAWESI BARAT,-2.85719,119.04715
30,81,MALUKU,-3.26327,130.06423
31,82,MALUKU UTARA,1.61056,127.75427
32,91,PAPUA,-4.21805,138.17283
33,92,PAPUA BARAT,-1.36991,133.08497
34,92,PAPUA BARAT DAYA,-0.83268,131.377645
35,93,PAPUA SELATAN,-8.17248,140.52879
36,94,PAPUA TENGAH,-3.36523,135.48951
37,95,PAPUA PEGUNUNGAN,-4.07131,139.39152
